epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4029.7,1.4819,0.62374,0.97295,0.91359,0.88426,0.93692,0.48051,1.58054,0.63132,0.97088,0.0007328,0.0007328,0.0007328
66,4080.96,1.49062,0.62158,0.96978,0.9162,0.88381,0.93645,0.48289,1.58093,0.62881,0.97191,0.000713,0.000713,0.000713
67,4131.93,1.49223,0.62202,0.97377,0.91649,0.88539,0.93864,0.48279,1.58498,0.62689,0.97207,0.0006932,0.0006932,0.0006932
68,4183.12,1.4879,0.62127,0.96986,0.91744,0.88187,0.93727,0.48191,1.58334,0.62351,0.97061,0.0006734,0.0006734,0.0006734
69,4254.56,1.47836,0.61665,0.97296,0.9178,0.88481,0.93724,0.48057,1.58233,0.62468,0.97175,0.0006536,0.0006536,0.0006536
70,4302.53,1.47712,0.61723,0.97235,0.91925,0.88235,0.93716,0.48236,1.58148,0.62377,0.97111,0.0006338,0.0006338,0.0006338
71,4352.83,1.47552,0.61605,0.96797,0.91711,0.8888,0.93955,0.48445,1.5746,0.62351,0.96902,0.000614,0.000614,0.000614
72,4403.05,1.46814,0.61178,0.96957,0.91416,0.88745,0.93725,0.47941,1.59072,0.62722,0.97366,0.0005942,0.0005942,0.0005942
73,4453.29,1.47475,0.61365,0.97121,0.91663,0.8882,0.93833,0.48444,1.58012,0.62476,0.97157,0.0005744,0.0005744,0.0005744
74,4503.59,1.47887,0.61413,0.96932,0.91382,0.88956,0.93967,0.48585,1.57735,0.62226,0.97016,0.0005546,0.0005546,0.0005546
75,4553.27,1.46476,0.61023,0.96777,0.91611,0.88674,0.93913,0.48455,1.57948,0.62022,0.97234,0.0005348,0.0005348,0.0005348
76,4601.58,1.4716,0.60985,0.96886,0.91727,0.88815,0.93945,0.48598,1.57672,0.61942,0.9705,0.000515,0.000515,0.000515
77,4650.38,1.46293,0.60781,0.96604,0.91429,0.88865,0.94019,0.48771,1.57548,0.61829,0.96961,0.0004952,0.0004952,0.0004952
78,4701.31,1.45558,0.60399,0.96624,0.91648,0.88894,0.93832,0.48578,1.57591,0.6194,0.96957,0.0004754,0.0004754,0.0004754
79,4750.6,1.46228,0.60616,0.96686,0.91495,0.8915,0.94083,0.48597,1.57558,0.61799,0.97083,0.0004556,0.0004556,0.0004556
80,4800.21,1.45679,0.60492,0.96614,0.91547,0.89019,0.94014,0.48768,1.57736,0.61689,0.9722,0.0004358,0.0004358,0.0004358
81,4848.12,1.4651,0.60687,0.96617,0.91732,0.88888,0.9406,0.48634,1.57491,0.61914,0.97019,0.000416,0.000416,0.000416
82,4899.03,1.46051,0.6049,0.9652,0.91879,0.88937,0.94082,0.48854,1.57471,0.61721,0.96876,0.0003962,0.0003962,0.0003962
83,4951.3,1.45516,0.60096,0.96442,0.91818,0.8876,0.93992,0.48623,1.57987,0.6179,0.97164,0.0003764,0.0003764,0.0003764
84,5001.14,1.45237,0.59809,0.96271,0.92064,0.88644,0.94129,0.48786,1.57362,0.61543,0.9699,0.0003566,0.0003566,0.0003566
85,5052.6,1.45821,0.60059,0.95895,0.91874,0.88831,0.94117,0.48879,1.57423,0.61521,0.96959,0.0003368,0.0003368,0.0003368
86,5108.29,1.45983,0.6002,0.95858,0.91895,0.8878,0.94085,0.48735,1.57772,0.61589,0.97151,0.000317,0.000317,0.000317
87,5172.11,1.4515,0.5981,0.96024,0.91751,0.89101,0.94235,0.48957,1.57471,0.61404,0.97042,0.0002972,0.0002972,0.0002972
88,5235.93,1.44906,0.59505,0.95831,0.91875,0.88759,0.94069,0.48797,1.57437,0.6132,0.97058,0.0002774,0.0002774,0.0002774
89,5301.6,1.44983,0.59553,0.96323,0.91659,0.89214,0.94173,0.48677,1.57886,0.61497,0.97105,0.0002576,0.0002576,0.0002576
90,5360.53,1.43721,0.59123,0.95758,0.92003,0.8905,0.9416,0.48909,1.57703,0.61289,0.97036,0.0002378,0.0002378,0.0002378
91,5436.93,1.45323,0.58466,0.97025,0.91631,0.88981,0.93961,0.48608,1.58199,0.61741,0.97313,0.000218,0.000218,0.000218
92,5496.4,1.43997,0.57418,0.96633,0.91955,0.8867,0.94027,0.48665,1.58295,0.61784,0.97223,0.0001982,0.0001982,0.0001982
93,5555.06,1.43069,0.57153,0.96249,0.9154,0.88985,0.94072,0.48759,1.58129,0.61598,0.97195,0.0001784,0.0001784,0.0001784
94,5613.58,1.43706,0.57188,0.96418,0.91684,0.89011,0.94072,0.48836,1.57764,0.61401,0.97128,0.0001586,0.0001586,0.0001586
95,5659.92,1.43207,0.57083,0.96214,0.91678,0.89031,0.94079,0.48745,1.57803,0.61522,0.971,0.0001388,0.0001388,0.0001388
96,5705.93,1.4243,0.56678,0.96211,0.91637,0.89113,0.94113,0.48786,1.58096,0.61391,0.97214,0.000119,0.000119,0.000119
97,5751.44,1.42692,0.56648,0.96194,0.91782,0.89013,0.94112,0.48845,1.58036,0.61355,0.97214,9.92e-05,9.92e-05,9.92e-05
98,5796.68,1.42369,0.5647,0.96061,0.91741,0.89068,0.94179,0.48863,1.58001,0.61291,0.97174,7.94e-05,7.94e-05,7.94e-05
99,5841.16,1.41793,0.56316,0.95902,0.91616,0.89,0.94163,0.4886,1.57909,0.61251,0.97151,5.96e-05,5.96e-05,5.96e-05
100,5887.43,1.41888,0.5635,0.95839,0.91756,0.89004,0.9416,0.48867,1.57862,0.61321,0.97192,3.98e-05,3.98e-05,3.98e-05
