epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1106.37,1.53397,0.67504,0.99114,0.8978,0.86746,0.9113,0.45844,1.59301,0.66098,0.98748,0.0008516,0.0008516,0.0008516
31,1145.45,1.51875,0.66302,0.99353,0.89718,0.8717,0.90961,0.46206,1.59004,0.66042,0.98582,0.000812,0.000812,0.000812
32,1182.64,1.5181,0.66208,0.99079,0.89651,0.86748,0.90625,0.45893,1.58949,0.65742,0.98405,0.0007724,0.0007724,0.0007724
33,1219.99,1.51285,0.65681,0.98653,0.905,0.86852,0.91144,0.46738,1.58366,0.65215,0.9827,0.0007328,0.0007328,0.0007328
34,1257.03,1.5103,0.6606,0.98674,0.90081,0.86749,0.90816,0.46648,1.57647,0.65015,0.98111,0.0006932,0.0006932,0.0006932
35,1294.33,1.51076,0.65897,0.98675,0.9019,0.86932,0.91091,0.46556,1.57316,0.65055,0.97963,0.0006536,0.0006536,0.0006536
36,1331.46,1.50362,0.64834,0.98609,0.89798,0.86839,0.91172,0.46483,1.58418,0.65064,0.98132,0.000614,0.000614,0.000614
37,1370.99,1.49434,0.64822,0.98402,0.90089,0.86789,0.90632,0.46294,1.58896,0.65115,0.98304,0.0005744,0.0005744,0.0005744
38,1408.39,1.49994,0.64522,0.98319,0.90109,0.87138,0.90998,0.46589,1.57551,0.64533,0.98059,0.0005348,0.0005348,0.0005348
39,1445.32,1.48086,0.6406,0.98217,0.89618,0.87714,0.91125,0.46635,1.57158,0.64802,0.98,0.0004952,0.0004952,0.0004952
40,1482.76,1.48676,0.63922,0.97932,0.90266,0.8725,0.91196,0.46668,1.57719,0.64366,0.97996,0.0004556,0.0004556,0.0004556
41,1554.88,1.49461,0.6304,0.99068,0.89686,0.87423,0.91113,0.46468,1.57391,0.6497,0.98042,0.000416,0.000416,0.000416
