frame,timestamp,inst_fps,avg_fps,num_tracks,track_ids
149,16:10:42,15.99,33.02,6,1;2;3;4;6;7
150,16:10:42,61.76,33.13,6,1;2;3;4;6;7
151,16:10:42,62.50,33.23,6,1;2;3;4;6;7
152,16:10:43,16.26,33.00,6,1;2;3;4;6;7
153,16:10:43,64.41,33.11,6,1;2;3;4;6;7
154,16:10:43,66.36,33.22,6,1;2;3;4;6;7
155,16:10:43,21.35,33.10,6,1;2;3;4;6;7
156,16:10:43,62.27,33.20,6,1;2;3;4;6;7
157,16:10:43,62.43,33.30,6,1;2;3;4;6;7
158,16:10:43,15.91,33.07,6,1;2;3;4;6;7
159,16:10:43,62.43,33.17,6,1;2;3;4;6;7
160,16:10:43,64.37,33.27,6,1;2;3;4;6;7
161,16:10:43,15.60,33.04,6,1;2;3;4;6;7
162,16:10:43,63.85,33.13,6,1;2;3;4;6;7
163,16:10:43,111.12,33.28,6,1;2;3;4;6;7
164,16:10:43,19.23,33.13,6,1;2;3;4;6;7
165,16:10:43,66.28,33.23,6,1;2;3;4;6;7
166,16:10:43,62.50,33.33,6,1;2;3;4;6;7
167,16:10:43,16.39,33.12,6,1;2;3;4;6;7
168,16:10:43,65.39,33.22,6,1;2;3;4;6;7
169,16:10:43,63.68,33.31,6,1;2;3;4;6;7
170,16:10:43,15.98,33.10,6,1;2;3;4;6;7
171,16:10:43,17.86,32.94,6,1;2;3;4;6;7
172,16:10:43,40.00,32.97,6,1;2;3;4;6;7
173,16:10:43,10.42,32.56,6,1;2;3;4;6;7
174,16:10:43,37.05,32.59,6,1;2;3;4;6;7
175,16:10:43,62.49,32.67,6,1;2;3;4;6;7
176,16:10:43,16.08,32.48,6,1;2;3;4;6;7
177,16:10:43,62.46,32.57,6,1;2;3;4;6;7
178,16:10:43,67.51,32.67,6,1;2;3;4;6;7
179,16:10:43,21.07,32.57,6,1;2;3;4;6;7
180,16:10:43,64.41,32.66,6,1;2;3;4;6;7
181,16:10:43,66.67,32.75,6,1;2;3;4;6;7
182,16:10:43,16.44,32.57,6,1;2;3;4;6;7
183,16:10:44,62.50,32.66,6,1;2;3;4;6;7
184,16:10:44,62.50,32.74,6,1;2;3;4;6;7
185,16:10:44,16.13,32.56,6,1;2;3;4;6;7
186,16:10:44,62.13,32.64,6,1;2;3;4;6;7
187,16:10:44,64.02,32.73,6,1;2;3;4;6;7
188,16:10:44,16.30,32.56,6,1;2;3;4;6;7
189,16:10:44,63.13,32.64,6,1;2;3;4;6;7
190,16:10:44,65.12,32.73,6,1;2;3;4;6;7
191,16:10:44,15.77,32.54,6,1;2;3;4;6;7
192,16:10:44,66.64,32.63,6,1;2;3;4;6;7
193,16:10:44,63.43,32.71,7,1;2;3;4;5;6;7
194,16:10:44,16.07,32.54,7,1;2;3;4;5;6;7
195,16:10:44,64.78,32.62,7,1;2;3;4;5;6;7
196,16:10:44,65.35,32.70,7,1;2;3;4;5;6;7
197,16:10:44,15.85,32.53,7,1;2;3;4;5;6;7
198,16:10:44,62.43,32.61,7,1;2;3;4;5;6;7
199,16:10:44,111.10,32.72,7,1;2;3;4;5;6;7
200,16:10:44,18.97,32.61,7,1;2;3;4;5;6;7
201,16:10:44,62.48,32.68,7,1;2;3;4;5;6;7
202,16:10:44,62.50,32.76,7,1;2;3;4;5;6;7
203,16:10:44,21.15,32.67,7,1;2;3;4;5;6;7
204,16:10:44,67.86,32.76,7,1;2;3;4;5;6;7
205,16:10:44,65.51,32.84,7,1;2;3;4;5;6;7
206,16:10:44,16.22,32.67,7,1;2;3;4;5;6;7
207,16:10:44,66.60,32.75,7,1;2;3;4;5;6;7
208,16:10:44,66.36,32.83,7,1;2;3;4;5;6;7
209,16:10:44,15.83,32.67,7,1;2;3;4;5;6;7
210,16:10:44,66.67,32.75,7,1;2;3;4;5;6;7
211,16:10:44,66.93,32.83,7,1;2;3;4;5;6;7
212,16:10:44,16.39,32.67,7,1;2;3;4;5;6;7
213,16:10:44,66.59,32.75,7,1;2;3;4;5;6;7
214,16:10:44,66.67,32.83,7,1;2;3;4;5;6;7
215,16:10:44,16.17,32.67,7,1;2;3;4;5;6;7
216,16:10:44,66.59,32.75,7,1;2;3;4;5;6;7
217,16:10:45,66.00,32.82,7,1;2;3;4;5;6;7
218,16:10:45,16.28,32.67,7,1;2;3;4;5;6;7
219,16:10:45,62.50,32.74,7,1;2;3;4;5;6;7
220,16:10:45,111.12,32.85,7,1;2;3;4;5;6;7
221,16:10:45,18.31,32.73,7,1;2;3;4;5;6;7
222,16:10:45,62.90,32.80,7,1;2;3;4;5;6;7
223,16:10:45,62.05,32.87,7,1;2;3;4;5;6;7
224,16:10:45,16.00,32.72,7,1;2;3;4;5;6;7
225,16:10:45,124.99,32.82,7,1;2;3;4;5;6;7
226,16:10:45,111.11,32.93,7,1;2;3;4;5;6;7
227,16:10:45,16.02,32.77,7,1;2;3;4;5;6;7
228,16:10:45,65.85,32.85,7,1;2;3;4;5;6;7
229,16:10:45,65.84,32.92,6,1;2;3;4;5;6
230,16:10:45,16.35,32.77,6,1;2;3;4;5;6
231,16:10:45,65.77,32.85,6,1;2;3;4;5;6
232,16:10:45,66.67,32.92,6,1;2;3;4;5;6
233,16:10:45,15.83,32.77,6,1;2;3;4;5;6
234,16:10:45,62.47,32.83,6,1;2;3;4;5;6
235,16:10:45,68.37,32.91,6,1;2;3;4;5;6
236,16:10:45,21.28,32.83,6,1;2;3;4;5;6
237,16:10:45,111.11,32.93,6,1;2;3;4;5;6
238,16:10:45,47.57,32.97,6,1;2;3;4;5;6
239,16:10:45,16.51,32.83,6,1;2;3;4;5;6
240,16:10:45,62.22,32.90,6,1;2;3;4;5;6
241,16:10:45,62.50,32.96,5,1;2;4;5;6
242,16:10:45,20.97,32.89,5,1;2;4;5;6
243,16:10:45,62.49,32.95,5,1;2;4;5;6
244,16:10:45,65.89,33.02,5,1;2;4;5;6
245,16:10:45,22.21,32.95,5,1;2;4;5;6
246,16:10:45,62.47,33.02,5,1;2;4;5;6
247,16:10:45,62.91,33.08,5,1;2;4;5;6
248,16:10:45,15.74,32.93,5,1;2;4;5;6
249,16:10:45,65.74,33.00,5,1;2;4;5;6
250,16:10:45,66.60,33.07,5,1;2;4;5;6
251,16:10:46,15.90,32.92,5,1;2;4;5;6
252,16:10:46,66.12,32.99,5,1;2;4;5;6
253,16:10:46,111.12,33.08,5,1;2;4;5;6
254,16:10:46,18.95,32.98,5,1;2;4;5;6
255,16:10:46,62.50,33.05,5,1;2;4;5;6
256,16:10:46,64.63,33.11,5,1;2;4;5;6
257,16:10:46,15.97,32.97,5,1;2;4;5;6
258,16:10:46,67.14,33.04,5,1;2;4;5;6
259,16:10:46,64.30,33.10,5,1;2;4;5;6
260,16:10:46,21.09,33.03,5,1;2;4;5;6
261,16:10:46,111.13,33.12,5,1;2;4;5;6
262,16:10:46,111.03,33.20,5,1;2;4;5;6
263,16:10:46,16.32,33.07,5,1;2;4;5;6
264,16:10:46,65.10,33.14,5,1;2;4;5;6
265,16:10:46,62.50,33.19,5,1;2;4;5;6
266,16:10:46,20.86,33.12,5,1;2;4;5;6
267,16:10:46,72.58,33.19,5,1;2;4;5;6
268,16:10:46,65.53,33.25,5,1;2;4;5;6
269,16:10:46,20.83,33.18,5,1;2;4;5;6
270,16:10:46,62.50,33.23,5,1;2;4;5;6
271,16:10:46,142.85,33.33,5,1;2;4;5;6
272,16:10:46,17.54,33.22,5,1;2;4;5;6
273,16:10:46,63.14,33.28,5,1;2;4;5;6
274,16:10:46,65.50,33.34,5,1;2;4;5;6
275,16:10:46,15.97,33.21,5,1;2;4;5;6
276,16:10:46,64.36,33.26,5,1;2;4;5;6
277,16:10:46,58.83,33.32,5,1;2;4;5;6
278,16:10:46,16.08,33.19,5,1;2;4;5;6
279,16:10:46,64.29,33.25,5,1;2;4;5;6
280,16:10:46,63.40,33.30,5,1;2;4;5;6
281,16:10:46,15.91,33.17,5,1;2;4;5;6
282,16:10:46,67.44,33.23,5,1;2;4;5;6
283,16:10:46,64.63,33.29,5,1;2;4;5;6
284,16:10:46,16.07,33.16,5,1;2;4;5;6
285,16:10:46,65.41,33.22,5,1;2;4;5;6
286,16:10:47,70.73,33.28,6,1;2;3;4;5;6
287,16:10:47,15.97,33.16,6,1;2;3;4;5;6
288,16:10:47,63.61,33.21,6,1;2;3;4;5;6
289,16:10:47,62.13,33.27,6,1;2;3;4;5;6
290,16:10:47,20.82,33.20,6,1;2;3;4;5;6
291,16:10:47,63.28,33.25,6,1;2;3;4;5;6
292,16:10:47,62.50,33.31,7,1;2;3;4;5;6;7
293,16:10:47,16.18,33.19,7,1;2;3;4;5;6;7
294,16:10:47,66.56,33.24,7,1;2;3;4;5;6;7
295,16:10:47,64.24,33.30,7,1;2;3;4;5;6;7
296,16:10:47,16.57,33.18,7,1;2;3;4;5;6;7
297,16:10:47,83.36,33.25,8,1;2;3;4;5;6;7;10
298,16:10:47,53.35,33.29,8,1;2;3;4;5;6;7;10
299,16:10:47,15.91,33.17,8,1;2;3;4;5;6;7;10
300,16:10:47,64.98,33.23,8,1;2;3;4;5;6;7;10
301,16:10:47,60.60,33.28,8,1;2;3;4;5;6;7;10
302,16:10:47,16.34,33.16,8,1;2;3;4;5;6;7;10
303,16:10:47,65.09,33.22,8,1;2;3;4;5;6;7;10
304,16:10:47,99.99,33.29,8,1;2;3;4;5;6;7;10
305,16:10:47,18.52,33.20,8,1;2;3;4;5;6;7;10
306,16:10:47,62.50,33.25,8,1;2;3;4;5;6;7;10
307,16:10:47,64.31,33.31,8,1;2;3;4;5;6;7;10
308,16:10:47,20.83,33.24,8,1;2;3;4;5;6;7;10
309,16:10:47,62.46,33.29,8,1;2;3;4;5;6;7;10
310,16:10:47,63.72,33.34,8,1;2;3;4;5;6;7;10
311,16:10:47,20.82,33.28,8,1;2;3;4;5;6;7;10
312,16:10:47,65.20,33.33,8,1;2;3;4;5;6;7;10
313,16:10:47,65.44,33.38,7,1;2;3;4;5;6;10
314,16:10:47,21.00,33.32,7,1;2;3;4;5;6;10
315,16:10:47,111.10,33.40,7,1;2;3;4;5;6;10
316,16:10:47,45.02,33.42,7,1;2;3;4;5;6;10
317,16:10:47,21.33,33.36,7,1;2;3;4;5;6;10
318,16:10:47,66.61,33.42,7,1;2;3;4;5;6;10
319,16:10:47,64.19,33.47,7,1;2;3;4;5;6;10
320,16:10:47,15.52,33.35,7,1;2;3;4;5;6;10
321,16:10:48,67.71,33.40,7,1;2;3;4;5;6;10
322,16:10:48,67.62,33.45,8,1;2;3;4;5;6;7;10
323,16:10:48,15.90,33.34,8,1;2;3;4;5;6;7;10
324,16:10:48,66.66,33.39,8,1;2;3;4;5;6;7;10
325,16:10:48,62.92,33.44,8,1;2;3;4;5;6;7;10
326,16:10:48,21.32,33.38,8,1;2;3;4;5;6;7;10
327,16:10:48,65.64,33.43,8,1;2;3;4;5;6;7;10
328,16:10:48,62.05,33.48,8,1;2;3;4;5;6;7;10
329,16:10:48,15.62,33.36,8,1;2;3;4;5;6;7;10
330,16:10:48,63.46,33.41,8,1;2;3;4;5;6;7;10
331,16:10:48,65.97,33.46,8,1;2;3;4;5;6;7;10
332,16:10:48,15.84,33.35,8,1;2;3;4;5;6;7;10
333,16:10:48,63.56,33.39,8,1;2;3;4;5;6;7;10
334,16:10:48,111.13,33.46,8,1;2;3;4;5;6;7;10
335,16:10:48,18.43,33.38,8,1;2;3;4;5;6;7;10
336,16:10:48,64.36,33.43,8,1;2;3;4;5;6;7;10
337,16:10:48,64.37,33.48,8,1;2;3;4;5;6;7;10
338,16:10:48,15.87,33.37,8,1;2;3;4;5;6;7;10
339,16:10:48,66.72,33.42,8,1;2;3;4;5;6;7;10
340,16:10:48,62.50,33.46,7,1;2;3;5;6;7;10
341,16:10:48,16.66,33.37,7,1;2;3;5;6;7;10
342,16:10:48,66.64,33.41,7,1;2;3;5;6;7;10
343,16:10:48,64.04,33.46,7,1;2;3;5;6;7;10
344,16:10:48,16.35,33.36,7,1;2;3;5;6;7;10
345,16:10:48,68.42,33.41,7,1;2;3;5;6;7;10
346,16:10:48,66.67,33.46,7,1;2;3;5;6;7;10
347,16:10:48,21.96,33.41,7,1;2;3;5;6;7;10
348,16:10:48,66.61,33.45,7,1;2;3;5;6;7;10
349,16:10:48,66.04,33.50,7,1;2;3;5;6;7;10
350,16:10:48,15.82,33.40,7,1;2;3;5;6;7;10
351,16:10:48,66.10,33.44,7,1;2;3;5;6;7;10
352,16:10:48,64.96,33.49,7,1;2;3;5;6;7;10
353,16:10:48,15.84,33.38,7,1;2;3;5;6;7;10
354,16:10:48,62.84,33.43,7,1;2;3;5;6;7;10
355,16:10:49,66.61,33.47,7,1;2;3;5;6;7;10
356,16:10:49,16.19,33.37,7,1;2;3;5;6;7;10
357,16:10:49,62.90,33.42,7,1;2;3;5;6;7;10
358,16:10:49,63.03,33.46,8,1;2;3;4;5;6;7;10
359,16:10:49,15.90,33.36,8,1;2;3;4;5;6;7;10
360,16:10:49,65.17,33.40,8,1;2;3;4;5;6;7;10
361,16:10:49,69.02,33.45,7,1;2;3;4;5;6;10
362,16:10:49,16.47,33.36,7,1;2;3;4;5;6;10
363,16:10:49,64.67,33.40,7,1;2;3;4;5;6;10
364,16:10:49,66.25,33.45,7,1;2;3;4;5;6;10
365,16:10:49,15.82,33.35,7,1;2;3;4;5;6;10
366,16:10:49,65.41,33.39,7,1;2;3;4;5;6;10
367,16:10:49,62.57,33.43,7,1;2;3;4;5;6;8
368,16:10:49,15.91,33.33,7,1;2;3;4;5;6;8
369,16:10:49,62.50,33.38,7,1;2;3;4;5;6;8
370,16:10:49,111.02,33.44,7,1;2;3;4;5;6;9
