frame,timestamp,inst_fps,avg_fps,num_tracks,track_ids
240,16:09:04,65.68,29.46,6,1;2;3;4;5;6
241,16:09:04,63.77,29.52,5,1;2;4;5;6
242,16:09:04,16.67,29.43,5,1;2;4;5;6
243,16:09:04,62.50,29.49,5,1;2;4;5;6
244,16:09:04,62.50,29.56,5,1;2;4;5;6
245,16:09:04,16.19,29.46,5,1;2;4;5;6
246,16:09:04,66.09,29.52,5,1;2;4;5;6
247,16:09:04,67.67,29.59,5,1;2;4;5;6
248,16:09:04,16.38,29.50,5,1;2;4;5;6
249,16:09:04,66.62,29.56,5,1;2;4;5;6
250,16:09:04,62.66,29.62,5,1;2;4;5;6
251,16:09:04,15.79,29.52,5,1;2;4;5;6
252,16:09:04,111.12,29.61,5,1;2;4;5;6
253,16:09:04,43.81,29.65,5,1;2;4;5;6
254,16:09:04,15.88,29.54,5,1;2;4;5;6
255,16:09:04,66.24,29.61,5,1;2;4;5;6
256,16:09:05,62.49,29.67,5,1;2;4;5;6
257,16:09:05,16.36,29.58,5,1;2;4;5;6
258,16:09:05,65.16,29.64,5,1;2;4;5;6
259,16:09:05,65.47,29.70,5,1;2;4;5;6
260,16:09:05,16.12,29.61,5,1;2;4;5;6
261,16:09:05,64.23,29.67,5,1;2;4;5;6
262,16:09:05,64.06,29.73,5,1;2;4;5;6
263,16:09:05,15.73,29.63,5,1;2;4;5;6
264,16:09:05,65.85,29.69,5,1;2;4;5;6
265,16:09:05,65.86,29.75,5,1;2;4;5;6
266,16:09:05,15.78,29.65,5,1;2;4;5;6
267,16:09:05,124.99,29.74,5,1;2;4;5;6
268,16:09:05,125.00,29.82,5,1;2;4;5;6
269,16:09:05,15.60,29.72,5,1;2;4;5;6
270,16:09:05,62.49,29.78,5,1;2;4;5;6
271,16:09:05,65.74,29.84,5,1;2;4;5;6
272,16:09:05,16.15,29.75,5,1;2;4;5;6
273,16:09:05,71.43,29.81,5,1;2;4;5;6
274,16:09:05,62.07,29.87,5,1;2;4;5;6
275,16:09:05,15.63,29.77,5,1;2;4;5;6
276,16:09:05,62.22,29.83,5,1;2;4;5;6
277,16:09:05,62.44,29.88,5,1;2;4;5;6
278,16:09:05,15.82,29.79,5,1;2;4;5;6
279,16:09:05,62.50,29.84,5,1;2;4;5;6
280,16:09:05,64.51,29.90,5,1;2;4;5;6
281,16:09:05,15.74,29.80,5,1;2;4;5;6
282,16:09:05,64.89,29.86,5,1;2;4;5;6
283,16:09:05,67.65,29.92,5,1;2;4;5;6
284,16:09:05,16.27,29.83,5,1;2;4;5;6
285,16:09:05,111.10,29.91,5,1;2;4;5;6
286,16:09:05,44.13,29.94,6,1;2;3;4;5;6
287,16:09:05,15.83,29.85,6,1;2;3;4;5;6
288,16:09:05,64.15,29.91,6,1;2;3;4;5;6
289,16:09:06,65.42,29.96,6,1;2;3;4;5;6
290,16:09:06,15.87,29.87,6,1;2;3;4;5;6
291,16:09:06,63.22,29.92,6,1;2;3;4;5;6
292,16:09:06,64.04,29.98,7,1;2;3;4;5;6;7
293,16:09:06,15.68,29.89,7,1;2;3;4;5;6;7
294,16:09:06,124.99,29.96,7,1;2;3;4;5;6;7
295,16:09:06,42.88,29.99,7,1;2;3;4;5;6;7
296,16:09:06,15.75,29.90,7,1;2;3;4;5;6;7
297,16:09:06,76.77,29.96,8,1;2;3;4;5;6;7;10
298,16:09:06,52.59,30.01,8,1;2;3;4;5;6;7;10
299,16:09:06,12.70,29.87,8,1;2;3;4;5;6;7;10
300,16:09:06,65.80,29.93,8,1;2;3;4;5;6;7;10
301,16:09:06,66.56,29.98,8,1;2;3;4;5;6;7;10
302,16:09:06,12.63,29.85,8,1;2;3;4;5;6;7;10
303,16:09:06,66.60,29.90,8,1;2;3;4;5;6;7;10
304,16:09:06,66.67,29.95,8,1;2;3;4;5;6;7;10
305,16:09:06,16.13,29.87,8,1;2;3;4;5;6;7;10
306,16:09:06,66.67,29.92,8,1;2;3;4;5;6;7;10
307,16:09:06,64.83,29.98,8,1;2;3;4;5;6;7;10
308,16:09:06,15.71,29.89,8,1;2;3;4;5;6;7;10
309,16:09:06,62.21,29.94,8,1;2;3;4;5;6;7;10
310,16:09:06,64.51,29.99,8,1;2;3;4;5;6;7;10
311,16:09:06,12.55,29.86,8,1;2;3;4;5;6;7;10
312,16:09:06,63.18,29.91,8,1;2;3;4;5;6;7;10
313,16:09:06,65.78,29.96,7,1;2;3;4;5;6;10
314,16:09:06,12.72,29.83,7,1;2;3;4;5;6;10
315,16:09:06,67.25,29.88,7,1;2;3;4;5;6;10
316,16:09:06,62.74,29.93,7,1;2;3;4;5;6;10
317,16:09:06,15.80,29.85,7,1;2;3;4;5;6;10
318,16:09:06,111.11,29.92,7,1;2;3;4;5;6;10
